�N������,���˗�(MJ/�u),�C��(��),���Ύ��x(��),�~����(mm),����(m/s),�I�_���x(��),�V�C
2025/4/20 10:00,0.57,20,78,0,0.6,16.1,4
2025/4/20 11:00,0.53,20.2,78,0,1.8,16.3,4
2025/4/20 12:00,0.39,20.3,76,0,1.8,15.9,4
2025/4/20 13:00,0.29,19.2,87,0,1.9,17,10
2025/4/20 14:00,0.88,20.6,77,0,1.2,16.4,4
2025/4/20 15:00,0.94,21.1,70,0,1.4,15.4,4
2025/4/20 16:00,0.92,21.2,69,0,1.9,15.3,4
2025/4/20 17:00,0.62,21.6,67,0,1.7,15.2,4
2025/4/20 18:00,0.3,21.4,70,0,2,15.7,4
2025/4/20 19:00,0.08,20.5,77,0,0.7,16.3,4
2025/4/20 20:00,0,19.6,85,0,1,17,2
2025/4/20 21:00,0,18.8,86,0,1.1,16.4,2
2025/4/20 22:00,0,17.7,91,0,0.7,16.2,2
2025/4/20 23:00,0,17.6,92,0,1.4,16.3,2
2025/4/21 0:00,0,16.9,91,0,2.6,15.4,2
2025/4/21 1:00,0,16.5,92,0,1.9,15.2,2
2025/4/21 2:00,0,16.1,93,0,2.1,15,2
2025/4/21 3:00,0,15.8,94,0,1.6,14.9,2
2025/4/21 4:00,0,15.7,93,0,3.6,14.6,2
2025/4/21 5:00,0,15.9,93,0,2.4,14.8,2
2025/4/21 6:00,0.03,15.9,93,0,3.2,14.8,2
2025/4/21 7:00,0.38,17.1,89,0,2.9,15.3,2
2025/4/21 8:00,1.02,20,77,0,2.4,15.9,2
2025/4/21 9:00,2.02,22.9,61,0,1.3,15,2
2025/4/21 10:00,2.69,22.1,67,0,4.9,15.7,2
2025/4/21 11:00,3.12,22.2,71,0,4.5,16.7,2
2025/4/21 12:00,3.36,22.7,70,0,5.3,17,2
2025/4/21 13:00,3.38,22.8,71,0,5.6,17.3,2
2025/4/21 14:00,3.12,22.9,72,0,4.3,17.6,2
2025/4/21 15:00,2.66,23.1,69,0,4,17.1,2
2025/4/21 16:00,2.03,22.4,71,0,4.4,16.9,2
2025/4/21 17:00,1.3,22.1,71,0,3.2,16.6,2
2025/4/21 18:00,0.53,20.8,78,0,3.7,16.8,2
2025/4/21 19:00,0.06,19.6,81,0,2,16.3,2
2025/4/21 20:00,0,19.1,84,0,2.5,16.3,2
2025/4/21 21:00,0,18.9,85,0,0.3,16.3,2
2025/4/21 22:00,0,18.7,86,0,1.3,16.3,2
2025/4/21 23:00,0,17.7,89,0,0.2,15.9,2
2025/4/22 0:00,0,17.2,91,0,0.6,15.7,2
2025/4/22 1:00,0,17.1,92,0,1.6,15.8,2
2025/4/22 2:00,0,17.4,90,0,0.7,15.8,4
2025/4/22 3:00,0,17.7,88,0,0.7,15.7,4
2025/4/22 4:00,0,16.9,90,0,1.5,15.3,4
2025/4/22 5:00,0,16.6,93,0,1.8,15.5,4
2025/4/22 6:00,0.06,16.1,93,0,2,15,4
2025/4/22 7:00,0.34,16.9,87,0,2.2,14.7,4
2025/4/22 8:00,0.91,18.9,75,0,1.4,14.4,4
2025/4/22 9:00,1.33,21.1,70,0,1.2,15.4,4
2025/4/22 10:00,1.02,21.2,68,0,1.3,15.1,4
2025/4/22 11:00,0.69,20.9,69,0,3.5,15,4
2025/4/22 12:00,0.8,20.8,69,0,5.1,14.9,4
2025/4/22 13:00,0.67,20.7,74,0,3.7,15.9,4
2025/4/22 14:00,0.57,20.7,70,0,6.2,15.1,4
2025/4/22 15:00,0.55,20.9,73,0,7,15.9,4
2025/4/22 16:00,0.39,20.7,79,0,5.2,16.9,4
2025/4/22 17:00,0.24,19.8,89,0,4.6,17.9,10
2025/4/22 18:00,0.11,19.5,92,1.5,4,18.2,10
2025/4/22 19:00,0.01,19.1,95,5.5,5,18.3,10
2025/4/22 20:00,0,19,96,3,4.2,18.4,10
2025/4/22 21:00,0,18.8,97,9,4.7,18.3,10
2025/4/22 22:00,0,18.6,97,8.5,5.2,18.1,10
2025/4/22 23:00,0,18.5,99,8.5,2.8,18.3,10
2025/4/23 0:00,0,18.6,99,11.5,3.2,18.4,10
2025/4/23 1:00,0,19,99,5.5,1.9,18.8,10
2025/4/23 2:00,0,19.3,100,4,4,19.3,10
2025/4/23 3:00,0,19.6,100,0.5,1.8,19.6,10
2025/4/23 4:00,0,19.6,100,0,2.2,19.6,10
2025/4/23 5:00,0,19.5,100,0,2.3,19.5,4
2025/4/23 6:00,0.02,18.9,99,0,1.3,18.7,4
2025/4/23 7:00,0.25,19.3,99,0,1.8,19.1,4
2025/4/23 8:00,1.1,21.4,90,0,1.7,19.7,4
2025/4/23 9:00,2.11,23,83,0,1.5,20,2
2025/4/23 10:00,2.63,25.1,78,0,1.8,21,2
2025/4/23 11:00,2.78,24.2,80,0,4.2,20.5,4
2025/4/23 12:00,1.13,22.7,85,0,3.5,20.1,4
2025/4/23 13:00,1.47,23.9,80,0,2,20.3,4
2025/4/23 14:00,0.54,22.9,84,0,3.8,20.1,4
2025/4/23 15:00,0.97,23.7,83,0,1.9,20.6,4
2025/4/23 16:00,1.56,24.2,77,0,2.8,19.9,4
2025/4/23 17:00,0.96,22.4,83,0,3.3,19.4,4
2025/4/23 18:00,0.24,22.3,82,0,2.2,19.1,4
2025/4/23 19:00,0.02,22.2,82,0,1.9,19,4
2025/4/23 20:00,0,21.7,83,0,1.4,18.7,4
2025/4/23 21:00,0,21.4,83,0,1.2,18.4,4
2025/4/23 22:00,0,21,87,0,1.4,18.8,4
2025/4/23 23:00,0,20.6,90,0,1,18.9,2
2025/4/24 0:00,0,20.4,91,0,1.2,18.9,4
2025/4/24 1:00,0,20.2,90,0,0.6,18.5,4
2025/4/24 2:00,0,20.3,90,0,1.5,18.6,4
2025/4/24 3:00,0,19.8,88,0,2.3,17.8,4
2025/4/24 4:00,0,18.8,91,0,0.9,17.3,2
2025/4/24 5:00,0,18.4,93,0,1.2,17.3,2
2025/4/24 6:00,0.05,17.9,92,0,2.6,16.6,2
2025/4/24 7:00,0.55,19.1,85,0,2.7,16.5,2
2025/4/24 8:00,1.35,21,73,0,1.1,16,2
2025/4/24 9:00,1.39,22.2,68,0,1.4,16,4
2025/4/24 10:00,2.13,23.7,64,0,1.6,16.5,2
2025/4/24 11:00,3.28,24.4,68,0,4.7,18.1,2
2025/4/24 12:00,3.53,23,70,0,5.6,17.2,2
2025/4/24 13:00,3.46,23.2,71,0,5.6,17.7,2
2025/4/24 14:00,3.04,23.2,71,0,5.6,17.7,2
2025/4/24 15:00,1.62,21.6,77,0,5.8,17.4,4
2025/4/24 16:00,0.76,21,81,0,3.8,17.6,4
2025/4/24 17:00,0.26,20.3,84,0,2.7,17.5,4
2025/4/24 18:00,0.05,20.2,85,0,3.9,17.6,4
2025/4/24 19:00,0.01,20.1,85,0,2,17.5,4
2025/4/24 20:00,0,19.4,91,0,1.8,17.9,10
2025/4/24 21:00,0,19.5,91,0,0.8,18,4
2025/4/24 22:00,0,19.5,89,0,0.6,17.6,4
2025/4/24 23:00,0,19.3,88,0,1.8,17.3,4
2025/4/25 0:00,0,18.5,81,0,2,15.2,4
2025/4/25 1:00,0,18.2,72,0,1.3,13.1,4
2025/4/25 2:00,0,18.1,75,0,0.9,13.6,4
2025/4/25 3:00,0,17.8,79,0,1.5,14.1,4
2025/4/25 4:00,0,17.5,72,0,1.1,12.4,4
2025/4/25 5:00,0,17.2,87,0,2.1,15,4
2025/4/25 6:00,0.01,17.3,84,0,1.1,14.6,4
2025/4/25 7:00,0.11,17.5,85,0,1.8,15,4
2025/4/25 8:00,0.37,18.1,75,0,1.5,13.6,4
2025/4/25 9:00,1.14,20.7,59,0,0.6,12.4,4
2025/4/25 10:00,1.16,21.8,51,0,2.3,11.2,4
2025/4/25 11:00,2.17,23.5,41,0,1.4,9.5,4
2025/4/25 12:00,2.05,23.8,43,0,3.9,10.5,4
2025/4/25 13:00,2.47,25.2,37,0,2.4,9.5,4
2025/4/25 14:00,2.29,22.6,64,0,5.2,15.5,4
2025/4/25 15:00,1.98,22.2,67,0,3.9,15.8,4
2025/4/25 16:00,1.11,21.4,64,0,2.7,14.3,4
2025/4/25 17:00,0.6,21.2,58,0,3.4,12.6,4
2025/4/25 18:00,0.27,20.3,77,0,4.4,16.2,4
2025/4/25 19:00,0.04,19.5,77,0,4.1,15.4,4
2025/4/25 20:00,0,19.3,76,0,3.2,15,4
2025/4/25 21:00,0,19.1,76,0,1.8,14.8,2
2025/4/25 22:00,0,17.7,55,0,1.8,8.6,2
2025/4/25 23:00,0,17.2,55,0,1.5,8.1,2
2025/4/26 0:00,0,16.6,52,0,0.8,6.7,2
